"","run 1","run 2","run 3","run 4","run 5","run 6","run 7","run 8","run 9","run 10","Average"
"12141",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11029.5,11879.75,10246,11433.543
"12142",11970.58,11203.2,10839.5,11407.25,11607.08,11767.37,12385.2,11029.5,11879.75,10246,11433.543
"12143",11980.58,11203.2,10839.5,11412.25,11607.08,11767.37,12385.2,11029.5,11879.75,10246,11435.043
"12144",11980.58,11203.2,10839.5,11412.25,11607.08,11767.37,12385.2,11029.5,11879.75,10246,11435.043
"12145",11980.58,11203.2,10839.5,11412.25,11607.08,11767.37,12385.2,11029.5,11879.75,10246,11435.043
"12146",11980.58,11208.2,10864.5,11412.25,11607.08,11767.37,12385.2,11029.5,11879.75,10246,11438.043
"12147",11980.58,11208.2,10864.5,11412.25,11607.08,11787.37,12385.2,11029.5,11879.75,10246,11440.043
"12148",11980.58,11208.2,10864.5,11412.25,11607.08,11787.37,12385.2,11029.5,11879.75,10246,11440.043
"12149",11980.58,11208.2,10864.5,11412.25,11607.08,11787.37,12385.2,11029.5,11879.75,10246,11440.043
"12150",11980.58,11208.2,10864.5,11412.25,11607.08,11787.37,12385.2,11029.5,11879.75,10246,11440.043
"12151",11980.58,11208.2,10864.5,11412.25,11607.08,11800.37,12385.2,11029.5,11879.75,10246,11441.343
"12152",11980.58,11208.2,10864.5,11412.25,11607.08,11800.37,12385.2,11029.5,11879.75,10246,11441.343
"12153",11980.58,11208.2,10864.5,11412.25,11607.08,11800.37,12385.2,11029.5,11879.75,10246,11441.343
